id;units;unit_price;balance;current_invested_amount;profit_loss;created_on;updated_on
1;95723;20678;38970;56252;46128;2022-06-10T16:41:23;2022-06-10T22:50:52
2;72566;95049;80067;84418;27601;2022-06-11T05:06:43;2022-06-10T22:44:50
3;10811;64232;69597;58126;97207;2022-06-10T20:23:56;2022-06-11T08:51:32
4;8077;32683;24619;1617;94146;2022-06-11T15:00:24;2022-06-11T00:31:51
5;2846;28259;77401;17125;76482;2022-06-10T21:56:33;2022-06-11T13:26:16
6;99038;99173;33627;60393;85216;2022-06-11T08:14:52;2022-06-10T21:52:04
7;41724;69788;25768;80268;40045;2022-06-11T09:34:01;2022-06-11T09:24:43
8;77705;10478;78925;98163;59015;2022-06-11T03:57:52;2022-06-11T07:26:27
9;82211;21333;70426;41565;4167;2022-06-10T20:31:50;2022-06-11T07:11:48
10;1847;73712;69039;68873;90108;2022-06-11T10:45:02;2022-06-11T10:55:28
