id;units;unit_price;balance;current_invested_amount;profit_loss;created_on;updated_on
1;97369;30;30516;84203;87811;2022-06-11T13:34:17;2022-06-10T16:40:13
2;74726;36404;5849;26336;26605;2022-06-10T19:28:45;2022-06-10T20:33:00
3;72538;81731;63962;23128;46552;2022-06-11T08:32:33;2022-06-10T20:53:57
4;33920;95411;92812;43668;86412;2022-06-10T21:09:51;2022-06-11T11:45:54
5;77764;5128;12301;84997;15709;2022-06-11T09:16:20;2022-06-11T13:01:32
6;70163;60929;71495;64220;86341;2022-06-10T22:43:38;2022-06-11T02:46:38
7;13989;37998;85809;72116;23870;2022-06-11T15:21:56;2022-06-10T17:17:54
8;22874;16587;8078;38906;99380;2022-06-10T21:20:11;2022-06-11T01:39:36
9;31345;96295;53830;43497;61830;2022-06-10T23:17:09;2022-06-11T11:10:00
10;18662;49933;89461;82084;31747;2022-06-11T10:20:37;2022-06-11T01:46:56
