id;units;current_unit_price;balance;current_invested_amount;created_on;updated_on
1;3194;61456;64575;88087;2022-06-11T14:05:07;2022-06-11T13:17:30
2;21860;82129;39137;32439;2022-06-11T14:26:01;2022-06-10T23:30:29
3;84430;36973;24756;31551;2022-06-10T21:59:28;2022-06-10T16:14:26
4;59603;71780;21769;63002;2022-06-11T07:30:13;2022-06-11T00:35:45
5;58784;28604;95082;71030;2022-06-11T00:40:49;2022-06-11T10:58:39
6;40688;25220;54753;36222;2022-06-10T16:19:12;2022-06-10T19:54:13
7;70530;37936;94261;77988;2022-06-11T00:48:52;2022-06-11T12:06:53
8;98212;24845;98678;7566;2022-06-10T21:50:27;2022-06-11T13:25:16
9;77859;61988;85568;89721;2022-06-11T14:23:08;2022-06-10T20:14:33
10;26057;36396;98909;83153;2022-06-10T18:18:21;2022-06-11T07:08:28
