id;description;type;amount;created_on;updated_on
1;Frozen;CASHBACK;78624;2022-06-11T15:54:18;2022-06-10T22:19:19
2;silver Interactions Ball;CASHBACK;63337;2022-06-11T12:14:13;2022-06-11T07:03:27
3;Clothing Missouri Bedfordshire;BONUS;64934;2022-06-11T01:54:12;2022-06-11T09:45:25
4;fuchsia Kids markets;CASHBACK;87404;2022-06-11T00:17:02;2022-06-11T05:26:36
5;payment Borders;BONUS;68067;2022-06-11T03:52:37;2022-06-11T12:50:12
6;e-tailers actuating;CASHBACK;90191;2022-06-11T12:26:37;2022-06-10T18:24:04
7;Licensed Account;CASHBACK;25787;2022-06-11T06:06:43;2022-06-11T11:30:46
8;JBOD;CASHBACK;49627;2022-06-11T01:46:44;2022-06-10T19:58:32
9;synthesizing olive Uruguay;CASHBACK;81831;2022-06-11T03:45:47;2022-06-11T05:14:02
10;Metal Account Mouse;CASHBACK;23218;2022-06-10T22:03:38;2022-06-10T20:31:46
