id;description;type;amount;created_on;updated_on
1;copy repurpose;BONUS;73611;2022-06-11T15:48:05;2022-06-11T09:47:03
2;reinvent;BONUS;50240;2022-06-10T22:20:11;2022-06-10T21:41:18
3;responsive Comoro;CASHBACK;58477;2022-06-11T11:48:11;2022-06-11T04:49:38
4;Sleek;CASHBACK;81755;2022-06-11T13:09:00;2022-06-10T19:24:45
5;Games Awesome yellow;BONUS;27123;2022-06-10T19:15:03;2022-06-10T20:34:24
6;context-sensitive navigating;CASHBACK;5595;2022-06-10T18:41:17;2022-06-10T22:00:20
7;Facilitator parse;BONUS;88127;2022-06-11T14:59:48;2022-06-11T13:47:26
8;Poland concept;BONUS;4922;2022-06-11T01:32:02;2022-06-10T16:44:41
9;approach;BONUS;77925;2022-06-10T18:57:31;2022-06-10T16:34:34
10;Customizable Designer intuitive;CASHBACK;62231;2022-06-11T13:10:36;2022-06-11T06:29:13
