id;type;amount;units;unit_price;created_on;updated_on
1;DEPOSIT;59208;33642;29741;2022-06-11T14:10:23;2022-06-11T13:37:08
2;DEPOSIT;61420;47193;16431;2022-06-10T15:58:08;2022-06-10T18:55:09
3;WITHDRAWAL;99553;95136;29433;2022-06-11T07:53:43;2022-06-11T09:01:39
4;WITHDRAWAL;83454;94362;51662;2022-06-10T20:54:11;2022-06-11T06:45:18
5;DEPOSIT;40665;46784;18598;2022-06-11T15:26:14;2022-06-11T00:42:26
6;WITHDRAWAL;38347;39660;934;2022-06-11T08:10:35;2022-06-11T03:10:26
7;DEPOSIT;73402;99633;99586;2022-06-11T09:49:44;2022-06-11T06:36:34
8;DEPOSIT;87884;28894;27354;2022-06-11T01:21:54;2022-06-11T13:12:11
9;DEPOSIT;97190;9801;3216;2022-06-10T17:08:28;2022-06-11T03:01:33
10;WITHDRAWAL;59276;83747;52466;2022-06-10T15:56:31;2022-06-10T16:16:16
